Timestamp,sno,performance,time,effectiveness,theory,coding,background,learning,remarks
11/22/2018 9:21:20,1,Phase 5,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Sufficient,"Phase 3, Phase 4, Phase 5",
11/22/2018 9:28:19,2,Phase 5,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,"Phase 4, Phase 5",
11/22/2018 9:31:14,3,Phase 3,5-10 hours,100%,Those who have done the lab have a minor advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Sufficient,"Phase 1, Phase 2, Phase 3",
11/22/2018 9:33:24,4,Phase 3,10-15 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,Phase 3,
11/25/2018 15:34:59,5,Phase 6,10-15 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,"Phase 2, Phase 4, Phase 5",
11/22/2018 9:42:35,6,Phase 7,>15 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Sufficient,"Phase 4, Phase 5",better knowledge in computer organization could've helped us to understand the basics better.
11/22/2018 9:44:39,7,Phase 5,>15 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Computer Organization / Hardware,Phase 5,
11/22/2018 9:50:10,8,Phase 4,10-15 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Compilers,"Phase 2, Phase 4",little bit knowledge in compilers . rest was fine. 
11/22/2018 10:01:23,9,Phase 4,10-15 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Sufficient,"Phase 1, Phase 2, Phase 3, Phase 4",had two options for question 2
11/22/2018 10:06:25,10,Phase 6,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,Phase 5,
11/22/2018 10:11:37,11,Phase 7,10-15 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,"Computer Organization / Hardware, Compilers",Phase 6,
11/22/2018 10:14:44,12,Phase 7,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Sufficient,Phase 5,
11/22/2018 10:22:00,13,Phase 7,10-15 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Sufficient,Phase 4,"(mainly coding habits)like commenting, etc "
11/22/2018 10:27:56,14,Phase 6,5-10 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Sufficient,Phase 6,q1. 26 code not working.
