Timestamp,sno,performance,time,effectiveness,theory,coding,background,learning,remarks
05/26/2020 03:32:40,1,Phase 1,<5 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about considerable improvement in my coding skills,Sufficient,,
05/26/2020 03:32:40,2,Phase 1,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,,
05/26/2020 03:32:40,3,Phase 2,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,,
05/26/2020 03:32:40,4,Phase 2,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,"Computer Organization / Hardware,Compilers",,
05/26/2020 03:32:40,5,Phase 3,10-15 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab did not bring about a serious improvement in my coding skills,Computer Organization / Hardware,,
05/26/2020 03:32:40,6,Phase 3,<5 hours,100%,Those who have done the lab have a minor advantage in understanding the theory,The lab did not bring about a serious improvement in my coding skills,Sufficient,,
05/26/2020 03:32:40,7,Phase 3,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,,
05/26/2020 03:32:40,8,Phase 3,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Computer Organization / Hardware,,
05/26/2020 03:32:40,9,Phase 4,10-15 hours,100%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Sufficient,,
05/26/2020 03:32:40,10,Phase 4,10-15 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Sufficient,,
05/26/2020 03:32:40,11,Phase 4,5-10 hours,>90%,Those who have done the lab have a clear advantage in understanding the theory,The lab brought about moderate improvement in my coding skills,Sufficient,,
